UF,Municipio,Profissao,Quantidade,PctFeminino,MediaIdade,MediaRendTotal,MediaRendTrib,MediaPatrimonio
ES,ALTO RIO NOVO,Outros trabalhadores de serviços diversos,25,0.16,43.24,52144.41,34149.560000000005,122269.9436
ES,ALTO RIO NOVO,"Pedagogo, orientador educacional",12,0.8333333333333334,49.916666666666664,153737.5925,101548.17166666668,52477.07
ES,ALTO RIO NOVO,Policial Militar,16,0.125,44.875,145954.91312500002,124186.21125,3697.6018750000003
ES,ALTO RIO NOVO,Produtor na exploração agropecuária,109,0.1834862385321101,48.137614678899084,98554.5223853211,33305.416422018345,300678.1437614679
ES,ALTO RIO NOVO,Professor do ensino fundamental,69,0.927536231884058,43.63768115942029,72002.9375362319,63194.14594202899,39445.07231884058
ES,ALTO RIO NOVO,Professor do ensino médio,17,0.7058823529411765,39.705882352941174,81696.18294117648,65451.36529411765,41408.60411764706
ES,ALTO RIO NOVO,Professor na educação infantil,32,1,46.28125,64110.565312499995,57329.84125,42404.79281249999
ES,ALTO RIO NOVO,Técnico da ciência da saúde humana,10,0.9,41.6,54896.447,51211.301999999996,36631.037
ES,ALTO RIO NOVO,Trabalhador dos serviços de saúde,14,0.6428571428571429,49.57142857142857,55260.83571428571,51235.236428571436,45836.44928571429
ES,ANCHIETA,,718,0.5459610027855153,64.90947075208913,118168.19788300837,69821.08544568246,259868.5060445683
ES,ANCHIETA,Advogado,31,0.5161290322580645,40.96774193548387,99986.8429032258,70418.98483870969,229842.98451612904
ES,ANCHIETA,"Analista de sistemas, desenvolvedor de software, administrador de redes e bancos de dados e outros especialistas em informática (exceto técnico)",33,0.24242424242424243,34.72727272727273,163489.39090909096,103154.81515151515,256135.89606060606
ES,ANCHIETA,Assistente social e economista doméstico,18,1,44.05555555555556,91925.53444444443,78983.41166666668,70984.66388888888
ES,ANCHIETA,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",188,0.6914893617021277,42.32446808510638,91093.95281914894,71179.09101063831,100986.84898936172
